DATE,TOTAL_PHARMACIES,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS,TOTAL_DISTANCE_SELLING_PHARMACIES,TOTAL_HUNDRED_HOUR_PHARMACIES,SMALL,MEDIUM,LARGE,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_OPENED,TOTAL_PHARMACIES_EXCLUDING_DISTANCE_SELLERS_CLOSED,PHARMACIES_EXCLUDING_DISTANCE_SELLERS_NET_CHANGE,SMALL_PHARMACIES_OPENED,SMALL_PHARMACIES_CLOSED,SMALL_NET_CHANGE,MEDIUM_PHARMACIES_OPENED,MEDIUM_PHARMACIES_CLOSED,MEDIUM_NET_CHANGE,LARGE_PHARMACIES_OPENED,LARGE_PHARMACIES_CLOSED,LARGE_NET_CHANGE,DISTANCE_SELLERS_OPENED,DISTANCE_SELLERS_CLOSED,DISTANCE_SELLERS_NET_CHANGE
20210131,11206,10837,369,1096,4024,1593,5220,18,60,-42,14,0,14,4,26,-22,0,34,-34,1,1,0
20210228,11184,10815,369,1091,4033,1584,5198,32,54,-22,23,1,22,4,26,-22,5,27,-22,1,1,0
20210331,11186,10816,370,1086,4034,1602,5180,41,40,1,20,1,19,19,18,1,2,21,-19,2,1,1
20210430,11194,10817,377,1081,4053,1597,5167,32,31,1,26,0,26,5,17,-12,1,14,-13,7,0,7
20210531,11185,10810,375,1079,4057,1598,5155,25,32,-7,19,0,19,5,19,-14,1,13,-12,1,3,-2
20210630,11175,10799,376,1078,4061,1693,5045,25,36,-11,20,1,19,3,22,-19,2,13,-11,3,2,1
20210731,11180,10805,375,1076,4080,1690,5035,27,21,6,21,0,21,6,11,-5,0,10,-10,1,2,-1
20210831,11153,10777,376,1073,4075,1686,5016,19,47,-28,16,2,14,2,25,-23,1,20,-19,3,2,1
20210930,11158,10779,379,1068,4081,1691,5007,23,21,2,10,1,9,11,9,2,2,11,-9,5,2,3
20211031,11141,10760,381,1072,4080,1689,4991,21,40,-19,13,1,12,7,22,-15,1,17,-16,3,1,2
20211130,11146,10764,382,1070,4074,1709,4981,23,19,4,11,0,11,12,9,3,0,10,-10,4,3,1
20211231,11148,10767,381,1066,4071,1716,4980,17,14,3,9,0,9,6,11,-5,2,3,-1,1,2,-1
20220131,11121,10739,382,1066,4074,1708,4957,21,49,-28,19,1,18,0,23,-23,2,25,-23,2,1,1
20220228,11117,10736,381,1063,4077,1717,4942,29,32,-3,19,0,19,10,17,-7,0,15,-15,2,3,-1
20220331,11121,10739,382,1056,4083,1720,4936,18,15,3,10,0,10,8,9,-1,0,6,-6,2,1,1
20220430,11113,10729,384,1050,4080,1721,4928,10,19,-9,9,0,9,1,11,-10,0,8,-8,3,2,1
20220531,11099,10713,386,1045,4080,1720,4913,18,34,-16,15,1,14,3,18,-15,0,15,-15,2,0,2
20220630,11093,10704,389,1043,4082,1721,4901,18,27,-9,14,0,14,4,15,-11,0,12,-12,4,1,3
20220731,11080,10692,388,1036,4077,1723,4892,16,28,-12,13,1,12,3,18,-15,0,9,-9,2,3,-1
20220831,11083,10691,392,1032,4082,1727,4882,23,24,-1,19,1,18,4,13,-9,0,10,-10,5,1,4
20220930,11071,10681,390,1027,4077,1730,4874,15,25,-10,12,0,12,0,14,-14,3,11,-8,2,4,-2
20221031,11046,10658,388,1024,4079,1731,4848,15,38,-23,10,0,10,4,11,-7,1,27,-26,4,6,-2
20221130,11059,10668,391,1022,4092,1735,4841,32,22,10,20,0,20,8,11,-3,4,11,-7,4,1,3
20221231,11067,10676,391,1022,4257,1614,4805,24,16,8,15,1,14,9,5,4,0,10,-10,2,1,1
20230131,11045,10654,391,1018,4259,1616,4779,20,42,-22,16,13,3,3,1,2,1,28,-27,1,1,0
20230228,11041,10652,389,1014,4283,1617,4752,39,40,-1,36,9,27,2,2,0,1,29,-28,3,5,-2
20230331,11026,10635,391,1006,4293,1629,4713,40,56,-16,21,7,14,16,6,10,3,43,-40,4,1,3
20230430,10954,10560,394,1002,4320,1661,4579,72,145,-73,34,6,28,36,4,32,2,135,-133,4,0,4
20230531,10894,10503,391,984,4366,1687,4450,88,131,-43,58,7,51,29,2,27,1,122,-121,0,3,-3
20230630,10845,10450,395,932,4413,1720,4317,89,142,-53,68,4,64,21,1,20,0,137,-137,5,0,5
20230731,10800,10405,395,903,4485,1757,4163,122,156,-34,89,6,83,32,4,28,1,146,-145,2,0,2
20230831,10775,10380,395,880,4612,1790,3978,185,199,-14,142,12,130,40,4,36,3,183,-180,1,1,0
20230930,10757,10364,393,871,4717,1892,3755,146,146,0,127,14,113,18,114,-96,1,18,-17,2,5,-3
20231031,10707,10307,400,861,4796,1804,3707,110,153,-43,96,13,83,13,91,-78,1,49,-48,9,2,7
